时间段,因子名称,最小分位数超额年化收益率,最大分位数超额年化收益率,最小分位数换手率,最大分位数换手率,IC均值,IR值
全a 近10年,净利润与营业总收入之比,-8.03%,-3.00%,2.31%,1.42%,0.010,0.153
全a 近10年,心理线指标,-3.77%,-13.38%,24.94%,26.01%,-0.024,-0.329
全a 近10年,12日量变动速率指标,-0.03%,-24.09%,48.83%,46.47%,-0.046,-0.632
全a 近10年,6日成交金额的移动平均值,2.31%,-24.17%,6.56%,8.91%,-0.055,-0.506
全a 近10年,每股营业总收入TTM,-8.55%,-2.36%,2.18%,1.44%,0.010,0.184
全a 近10年,经营活动产生的现金流量净额与企业价值之比TTM,-9.84%,1.87%,2.43%,2.31%,0.019,0.327
全a 近10年,应付账款周转天数,0.06%,-3.84%,1.54%,1.68%,-0.006,-0.164
全a 近10年,销售净利率,-8.04%,-2.99%,2.32%,1.42%,0.010,0.153
全a 近10年,营业外收支利润净额/利润总额,-2.00%,-3.92%,2.08%,2.11%,-0.001,-0.022
全a 近10年,营业收入增长率,-8.75%,-3.44%,2.29%,1.90%,0.003,0.047
全a 近10年,净运营资本,-7.33%,-1.07%,2.20%,1.49%,0.013,0.299
全a 近10年,成交量的10日指数移动平均,0.76%,-18.76%,4.33%,6.48%,-0.043,-0.518
全a 近10年,成交量比率（Volume Ratio）,-4.59%,-13.06%,19.02%,19.84%,-0.030,-0.352
全a 近10年,5日平均换手率,6.22%,-30.37%,7.70%,9.84%,-0.062,-0.533
全a 近10年,意愿指标,-8.49%,-9.85%,15.78%,17.03%,-0.033,-0.346
全a 近10年,营业总收入TTM,-9.25%,-1.70%,3.01%,1.64%,0.018,0.222
全a 近10年,12日成交量的移动平均值,0.40%,-18.18%,3.86%,5.91%,-0.042,-0.498
全a 近10年,营业利润TTM,-9.99%,0.19%,2.83%,1.66%,0.023,0.288
全a 近10年,固定资产比率,-7.67%,-2.47%,1.66%,1.56%,0.004,0.080
全a 近10年,120日收益方差,0.59%,-17.52%,2.43%,3.67%,-0.043,-0.298
全a 近10年,应收账款周转天数,-3.07%,-2.12%,1.59%,1.65%,-0.007,-0.115
全a 近10年,经营活动现金流量净额TTM,-7.70%,-0.10%,2.52%,1.78%,0.017,0.250
全a 近10年,营业收入TTM,-9.08%,-1.76%,2.99%,1.64%,0.018,0.222
全a 近10年,20日成交金额的移动平均值,0.36%,-20.09%,3.32%,4.80%,-0.043,-0.370
全a 近10年,5日平均换手率与120日平均换手率,1.52%,-24.57%,12.09%,14.04%,-0.052,-0.606
全a 近10年,每股现金及现金等价物余额,-8.88%,-1.00%,2.74%,1.81%,0.010,0.188
全a 近10年,计算VMACD因子的中间变量,-2.74%,-19.96%,10.10%,15.00%,-0.042,-0.496
全a 近10年,总资产增长率,-7.73%,-3.21%,2.46%,1.82%,0.004,0.053
全a 近10年,杠杆因子,-4.44%,-5.79%,1.39%,1.61%,-0.001,-0.015
全a 近10年,威廉变异离散量,-1.90%,-19.52%,31.65%,29.17%,-0.041,-0.454
全a 近10年,毛利率增长,-8.33%,-4.02%,2.19%,2.03%,0.005,0.151
全a 近10年,因子WVAD的6日均值,-4.68%,-14.21%,16.11%,15.80%,-0.029,-0.341
全a 近10年,营业费用与营业总收入之比,-3.54%,-6.07%,1.77%,1.54%,-0.000,-0.008
全a 近10年,每股盈余公积金,-9.16%,-0.18%,1.95%,1.24%,0.016,0.260
全a 近10年,10日成交量标准差,2.88%,-23.00%,9.01%,9.87%,-0.051,-0.668
全a 近10年,带息流动负债,-5.79%,-3.88%,2.51%,1.93%,0.008,0.109
全a 近10年,销售税金率,-5.96%,-2.49%,1.67%,1.64%,0.002,0.076
全a 近10年,存货周转天数,-7.94%,-4.72%,1.74%,1.53%,-0.002,-0.039
全a 近10年,营业周期,-3.17%,-8.73%,1.97%,1.84%,-0.006,-0.086
全a 近10年,14日均幅指标,0.26%,-11.66%,3.51%,4.79%,-0.030,-0.316
全a 近10年,经营活动产生的现金流量净额与经营活动净收益之比,-8.34%,-2.85%,2.16%,2.00%,0.008,0.317
全a 近10年,净利润现金含量,-9.56%,-4.90%,2.71%,2.67%,0.005,0.197
全a 近10年,经营活动产生的现金流量净额增长率,-7.71%,-3.64%,2.30%,2.28%,0.006,0.221
全a 近10年,销售费用TTM,-7.86%,-1.74%,2.31%,1.60%,0.012,0.219
全a 近10年,留存收益,-10.29%,0.58%,2.91%,1.57%,0.026,0.325
全a 近10年,营业总成本TTM,-2.49%,-1.98%,3.56%,2.20%,0.016,0.197
全a 近10年,速动比率,-1.81%,-1.57%,2.08%,1.54%,0.001,0.021
全a 近10年,个股收益的20日偏度,-4.79%,-10.14%,15.99%,14.59%,-0.025,-0.434
全a 近10年,利润总额增长率,-9.69%,-3.98%,2.25%,2.13%,0.006,0.143
全a 近10年,营业外收支净额TTM,-4.38%,-4.53%,1.88%,1.68%,0.002,0.090
全a 近10年,无形资产比率,-4.18%,-6.45%,1.60%,1.59%,-0.002,-0.069
全a 近10年,归属母公司股东的净利润增长率,-0.80%,-2.90%,2.80%,2.71%,0.007,0.141
全a 近10年,市场杠杆,-4.80%,-3.17%,2.13%,2.15%,0.007,0.103
全a 近10年,个股收益的20日峰度,-4.48%,-9.49%,19.12%,15.47%,-0.006,-0.111
全a 近10年,20日夏普比率,-3.78%,-16.82%,19.47%,20.44%,-0.045,-0.430
全a 近10年,筹资活动产生的现金流量净额增长率,-4.73%,-3.70%,2.25%,2.30%,0.002,0.072
全a 近10年,投资活动现金流量净额TTM,-3.01%,-7.83%,1.84%,2.52%,-0.009,-0.204
全a 近10年,产权比率,-5.18%,-6.01%,1.78%,1.78%,-0.001,-0.012
全a 近10年,10日平均换手率,4.60%,-27.63%,4.92%,6.75%,-0.055,-0.464
全a 近10年,10日平均换手率与120日平均换手率之比,-0.51%,-22.46%,7.72%,9.38%,-0.044,-0.519
全a 近10年,计算VMACD因子的中间变量,-3.00%,-16.81%,6.25%,9.19%,-0.032,-0.403
全a 近10年,超速动比率,-5.41%,-5.68%,2.14%,1.60%,0.001,0.014
全a 近10年,存货周转率,-4.72%,-6.90%,1.82%,1.61%,0.003,0.041
全a 近10年,财务费用TTM,-3.01%,-4.47%,1.62%,1.67%,-0.002,-0.040
全a 近10年,营业利润增长率,-9.36%,-4.58%,2.24%,2.12%,0.006,0.135
全a 近10年,每股未分配利润,-10.00%,-0.07%,2.29%,1.33%,0.017,0.229
全a 近10年,20日成交量标准差,2.72%,-20.23%,5.13%,6.11%,-0.044,-0.556
全a 近10年,长期负债与营运资金比率,-5.44%,-1.67%,1.99%,1.82%,0.003,0.115
全a 近10年,流动比率(单季度),-5.99%,-4.75%,2.10%,1.58%,0.001,0.023
全a 近10年,经营活动产生现金流量净额/净债务,-6.70%,-1.00%,2.50%,2.42%,0.005,0.193
全a 近10年,总资产现金回收率,-10.38%,-0.90%,2.22%,1.77%,0.011,0.253
全a 近10年,6日均幅指标,2.30%,-15.08%,5.62%,8.04%,-0.038,-0.408
全a 近10年,每股营业收入TTM,-8.54%,-2.35%,2.18%,1.44%,0.010,0.184
全a 近10年,管理费用TTM,-8.50%,-1.21%,2.82%,1.71%,0.015,0.193
全a 近10年,净利息费用,-2.48%,-6.09%,2.09%,2.97%,-0.016,-0.092
全a 近10年,非流动资产比率,-4.85%,-6.10%,1.60%,1.72%,0.000,0.007
全a 近10年,价值变动净收益TTM,-5.71%,-3.27%,2.41%,1.91%,0.009,0.209
全a 近10年,每股净资产,-9.83%,-1.05%,2.24%,1.29%,0.013,0.174
全a 近10年,总资产周转率,-5.85%,-2.97%,1.75%,1.49%,0.004,0.113
全a 近10年,利润总额TTM,-10.18%,0.37%,2.89%,1.68%,0.023,0.293
全a 近10年,个股收益的120日峰度,-5.83%,-6.40%,5.18%,3.86%,0.006,0.078
全a 近10年,60日夏普比率,-1.79%,-13.91%,11.91%,12.65%,-0.037,-0.332
全a 近10年,长期借款与资产总计之比,-4.99%,-5.93%,2.06%,2.22%,0.001,0.018
全a 近10年,筹资活动现金流量净额TTM,1.62%,2.50%,1.65%,1.72%,-0.006,-0.125
全a 近10年,个股收益的60日偏度,-2.65%,-10.43%,6.72%,6.94%,-0.026,-0.420
全a 近10年,20日平均换手率,-5.97%,2.09%,4.10%,5.44%,-0.044,-0.375
全a 近10年,市值因子,9.00%,-2.64%,2.79%,1.81%,-0.015,-0.089
全a 近10年,每股营业总收入,-9.57%,-0.43%,2.46%,1.73%,0.011,0.202
全a 近10年,20日平均换手率与120日平均换手率之比,0.70%,-20.44%,5.27%,6.54%,-0.037,-0.438
全a 近10年,有形净值债务率,-5.49%,-5.60%,1.83%,1.76%,-0.001,-0.017
全a 近10年,成交量指数平滑异同移动平均线,-4.44%,-21.07%,16.49%,24.51%,-0.032,-0.442
全a 近10年,动量因子,-7.91%,-7.08%,6.95%,7.20%,-0.010,-0.069
全a 近10年,总资产报酬率,-7.94%,-1.96%,2.35%,1.50%,0.011,0.137
全a 近10年,营业利润率,-8.23%,-2.63%,2.30%,1.43%,0.011,0.163
全a 近10年,每股留存收益,-10.04%,-0.17%,2.30%,1.32%,0.017,0.234
全a 近10年,人气指标,-3.59%,-12.42%,14.99%,15.37%,-0.042,-0.464
全a 近10年,长期负债与资产总计之比,-5.81%,-3.68%,1.95%,1.68%,0.001,0.018
全a 近10年,流动资产周转率TTM,-6.42%,-2.47%,1.79%,1.52%,0.006,0.127
全a 近10年,无息流动负债,-8.21%,-2.61%,2.89%,1.95%,0.013,0.175
全a 近10年,财务费用与营业总收入之比,-2.86%,-7.93%,1.61%,1.83%,-0.007,-0.134
全a 近10年,经营活动净收益/利润总额,-8.36%,-6.37%,2.68%,2.79%,0.000,0.013
全a 近10年,息税前利润,-11.55%,2.35%,3.40%,2.19%,0.025,0.328
全a 近10年,债务总资产比,-5.03%,-6.56%,1.59%,1.91%,-0.002,-0.031
全a 近10年,股东权益与固定资产比率,-4.09%,-7.77%,1.77%,1.52%,-0.001,-0.022
全a 近10年,个股收益的120日偏度,-0.32%,-9.74%,4.02%,4.89%,-0.023,-0.384
全a 近10年,净利润TTM,-10.19%,0.29%,2.87%,1.70%,0.023,0.295
全a 近10年,120日夏普比率,-3.81%,-11.21%,8.72%,9.57%,-0.029,-0.269
全a 近10年,非线性市值因子,0.70%,-7.83%,2.76%,4.04%,-0.019,-0.298
全a 近10年,经营活动净收益,-10.67%,2.21%,3.01%,2.08%,0.023,0.304
全a 近10年,60日平均换手率,1.61%,-19.37%,2.16%,3.16%,-0.038,-0.309
全a 近10年,市净率因子,-10.99%,0.93%,3.38%,2.15%,0.031,0.212
全a 近10年,经营活动产生的现金流量净额/负债合计,-10.68%,-2.14%,2.89%,2.52%,0.008,0.226
全a 近10年,每股营业收入,-9.55%,-0.72%,2.46%,1.72%,0.011,0.202
全a 近10年,经营活动产生的现金流量净额与营业收入之比,-1.85%,-4.07%,2.72%,2.25%,0.009,0.278
全a 近10年,营业利润与营业总收入之比,-8.10%,-2.51%,2.30%,1.43%,0.011,0.163
全a 近10年,每股经营活动产生的现金流量净额,-8.22%,-1.43%,2.82%,2.55%,0.009,0.237
全a 近10年,换手率相对波动率,7.54%,-32.21%,5.65%,6.79%,-0.059,-0.561
全a 近10年,资产回报率TTM,-7.84%,-2.21%,2.34%,1.48%,0.010,0.129
全a 近10年,管理费用与营业总收入之比,-3.75%,-6.34%,1.79%,1.87%,-0.007,-0.154
全a 近10年,固定资产周转率,-4.56%,-7.85%,1.76%,1.56%,0.000,0.008
全a 近10年,净利润增长率,-10.29%,-4.02%,2.25%,2.16%,0.006,0.135
全a 近10年,对联营和合营公司投资收益/利润总额,-1.15%,-1.19%,2.21%,2.43%,0.006,0.178
全a 近10年,息税折旧摊销前利润,-11.09%,0.88%,3.82%,2.72%,0.023,0.324
全a 近10年,资产减值损失TTM,-1.58%,-5.16%,2.19%,1.91%,0.004,0.082
全a 近10年,股东权益比率,-6.56%,-5.03%,1.91%,1.59%,0.002,0.031
全a 近10年,每股营业利润TTM,-9.16%,0.57%,2.51%,1.48%,0.015,0.184
全a 近10年,20日收益方差,2.73%,-22.76%,8.36%,9.14%,-0.056,-0.435
全a 近10年,归属于母公司股东的净利润TTM,-10.03%,0.37%,2.89%,1.71%,0.023,0.296
全a 近10年,营业成本TTM,-8.16%,-2.60%,2.64%,1.70%,0.014,0.184
全a 近10年,净资产增长率,-7.84%,-4.30%,2.47%,1.82%,0.005,0.083
全a 近10年,120日平均换手率,1.22%,-16.32%,1.85%,2.56%,-0.031,-0.271
全a 近10年,6日量变动速率指标,1.05%,-23.18%,56.52%,53.39%,-0.042,-0.602
全a 近10年,销售商品提供劳务收到的现金与营业收入之比,-5.40%,-3.66%,1.84%,1.98%,0.002,0.051
全a 近10年,现金比率,-9.88%,-2.08%,2.50%,1.94%,0.006,0.135
全a 近10年,现金流动负债比,-10.05%,-0.95%,2.25%,1.49%,0.011,0.248
全a 近10年,20日成交金额的标准差,-6.42%,4.31%,6.32%,7.33%,-0.052,-0.512
全a 近10年,现金流资产比和资产回报率之差,-8.45%,-3.45%,2.76%,3.11%,0.001,0.033
全a 近10年,ARBR,-4.05%,-14.61%,17.78%,17.21%,-0.014,-0.305
全a 近10年,每股收益TTM,-9.66%,0.72%,2.52%,1.50%,0.015,0.181
全a 近10年,20日资金流量,0.50%,-20.10%,3.33%,4.80%,-0.043,-0.369
全a 近10年,权益回报率TTM,-8.28%,-1.56%,2.42%,1.67%,0.011,0.145
全a 近10年,应付账款周转率,-2.91%,1.07%,1.77%,1.45%,0.006,0.169
全a 近10年,销售毛利率,-7.16%,-3.49%,1.88%,1.45%,0.003,0.057
全a 近10年,净债务,-6.90%,-3.38%,2.33%,1.74%,0.007,0.090
全a 近10年,扣除非经常损益后的净利润/净利润,-6.09%,-9.12%,2.50%,2.80%,-0.004,-0.163
全a 近10年,非经常性损益,-7.70%,-2.67%,3.15%,2.60%,0.009,0.285
全a 近10年,应收账款周转率,-6.23%,-0.22%,3.78%,3.78%,0.007,0.098
全a 近10年,股东权益周转率,-6.33%,-5.45%,1.86%,1.52%,-0.001,-0.016
全a 近10年,每股现金流量净额，根据当时日期来获取最近变更日的总股本,-6.51%,-2.57%,2.19%,2.02%,0.003,0.127
全a 近10年,流动性因子,0.62%,-18.72%,1.94%,3.35%,-0.042,-0.247
全a 近10年,60日收益方差,2.04%,-18.95%,3.54%,4.91%,-0.048,-0.338
全a 近10年,销售商品提供劳务收到的现金,-9.06%,-1.75%,2.99%,1.71%,0.018,0.220
全a 近10年,个股收益的60日峰度,-6.27%,-6.50%,8.11%,6.20%,0.001,0.018
全a 近10年,成交量的5日指数移动平均,1.40%,-21.11%,6.80%,9.35%,-0.048,-0.589
全a 近10年,毛利TTM,-8.86%,-0.42%,3.31%,1.70%,0.021,0.277
全a 近10年,240日平均换手率,1.33%,-13.64%,1.77%,2.19%,-0.026,-0.246
全a 近10年,成交量的26日指数移动平均,-4.95%,2.93%,3.22%,4.48%,-0.030,-0.368
全a 近10年,每股营业利润,-11.02%,3.44%,2.95%,2.00%,0.018,0.223
全a 近10年,成交量震荡,0.64%,-27.19%,12.77%,15.90%,-0.052,-0.597
全a 近10年,6日成交金额的标准差,4.29%,-29.52%,16.01%,16.05%,-0.066,-0.694
全a 近10年,成本费用利润率,-7.44%,-2.10%,2.34%,1.42%,0.010,0.152
全a 近10年,销售成本率,-3.54%,-7.21%,1.41%,1.87%,-0.004,-0.066
全a 近10年,每股资本公积金,-5.56%,-4.23%,1.72%,1.31%,0.000,0.004
全a 近10年,现金流量市值比,-5.98%,3.55%,2.05%,1.93%,0.018,0.168
全a 近10年,残差历史波动率,3.42%,-17.30%,1.27%,2.81%,-0.040,-0.229
全a 近10年,5年盈利增长率,-6.72%,-2.02%,1.92%,1.47%,0.001,0.012
全a 近10年,利润市值比,-7.17%,2.31%,2.42%,1.84%,0.023,0.175
全a 近10年,市场杠杆,-0.86%,-0.85%,1.65%,1.52%,0.006,0.050
全a 近10年,对数总市值,7.96%,1.07%,2.78%,1.61%,-0.014,-0.081
全a 近10年,季度平均平均月换手率,3.19%,-22.48%,1.46%,2.97%,-0.034,-0.178
全a 近10年,收益离差,3.08%,-11.68%,13.53%,11.54%,-0.029,-0.192
全a 近10年,市值立方因子,2.29%,-7.73%,2.65%,3.98%,-0.020,-0.308
全a 近10年,月换手率,3.97%,-28.94%,2.52%,4.57%,-0.045,-0.239
全a 近10年,账面杠杆,-1.04%,-2.48%,1.52%,1.64%,-0.002,-0.021
全a 近10年,成长因子,-7.85%,-3.50%,1.92%,1.53%,0.001,0.015
全a 近10年,盈利预期因子,-10.04%,0.96%,3.03%,2.18%,0.022,0.172
全a 近10年,年度平均月换手率,2.59%,-14.42%,1.01%,2.00%,-0.022,-0.124
全a 近10年,日收益率标准差,4.53%,-19.99%,1.90%,4.21%,-0.048,-0.233
全a 近10年,资产负债率,-3.73%,-1.34%,1.40%,1.57%,-0.002,-0.017
全a 近10年,相对强弱,-8.62%,-0.53%,6.95%,7.20%,-0.010,-0.068
全a 近10年,5年营业收入增长率,-5.44%,-0.11%,1.74%,1.38%,0.001,0.011
全a 近10年,残差波动因子,3.98%,-23.17%,3.80%,5.86%,-0.058,-0.458
全a 近10年,BETA,-5.60%,-5.43%,3.25%,3.63%,-0.005,-0.025
全a 近10年,5日移动均线,-22.32%,-6.04%,47.11%,42.66%,0.050,0.424
全a 近10年,上轨线（布林线）指标,-15.46%,-6.00%,28.48%,15.91%,0.022,0.169
全a 近10年,26日指数移动均线,-22.57%,-2.30%,23.52%,20.05%,0.057,0.429
全a 近10年,资金流量指标,-3.52%,-15.17%,21.43%,22.47%,-0.034,-0.376
全a 近10年,120日指数移动均线,-19.12%,-2.22%,12.76%,9.85%,0.044,0.340
全a 近10年,60日移动均线,-21.04%,-2.63%,14.78%,11.86%,0.049,0.369
全a 近10年,120日移动均线,-18.26%,-1.98%,11.24%,8.69%,0.041,0.318
全a 近10年,下轨线（布林线）指标,-22.10%,-4.12%,17.82%,24.45%,0.062,0.582
全a 近10年,12日指数移动均线,-23.99%,-2.68%,32.73%,28.60%,0.059,0.453
全a 近10年,5日指数移动均线,-23.92%,-5.36%,47.30%,42.14%,0.055,0.443
全a 近10年,20日指数移动均线,-22.43%,-2.24%,26.28%,22.66%,0.058,0.440
全a 近10年,20日移动均线,-21.85%,-3.21%,23.65%,19.97%,0.055,0.427
全a 近10年,平滑异同移动平均线,-5.35%,-20.10%,12.84%,16.20%,-0.038,-0.351
全a 近10年,10日指数移动均线,-23.56%,-3.06%,35.37%,31.07%,0.059,0.453
全a 近10年,10日移动均线,3.86%,-5.63%,33.34%,29.51%,0.060,0.466
全a 近10年,5日乖离率,-5.88%,-22.62%,42.66%,47.13%,-0.050,-0.424
全a 近10年,当前股价除以过去一年股价均值再减1,-3.91%,-15.04%,6.18%,8.57%,-0.032,-0.267
全a 近10年,当前股价除以过去三个月股价均值再减1,-2.70%,-20.73%,11.78%,14.74%,-0.048,-0.367
全a 近10年,当前股价除以过去一个月股价均值再减1,-2.92%,-21.55%,19.53%,23.18%,-0.054,-0.424
全a 近10年,12日收盘价格与日期线性回归系数,-4.41%,-20.50%,15.66%,15.90%,-0.039,-0.343
全a 近10年,BBI 动量,-23.53%,-3.22%,34.95%,30.44%,0.059,0.457
全a 近10年,12日变动速率（Price Rate of Change）,-4.55%,-20.75%,23.94%,23.38%,-0.047,-0.395
全a 近10年,120日变动速率（Price Rate of Change）,-3.15%,-12.29%,9.19%,9.30%,-0.027,-0.234
全a 近10年,60日乖离率,-2.72%,-20.89%,11.86%,14.81%,-0.049,-0.368
全a 近10年,20日变动速率（Price Rate of Change）,-3.46%,-20.04%,19.08%,18.63%,-0.047,-0.392
全a 近10年,Aroon指标下轨,-9.13%,-8.48%,22.85%,22.75%,0.016,0.190
全a 近10年,单日价量趋势12均值,-6.91%,-17.02%,21.03%,18.80%,-0.042,-0.454
全a 近10年,当前交易量相比过去1个月日均交易量 与过去过去20日日均收益率乘积,-7.17%,-22.07%,25.45%,25.44%,-0.046,-0.398
全a 近10年,20日顺势指标,-7.21%,-15.55%,23.38%,26.21%,-0.042,-0.369
全a 近10年,6日收盘价格与日期线性回归系数,-1.84%,-23.73%,29.81%,29.62%,-0.047,-0.398
全a 近10年,CR指标,-2.93%,-14.74%,17.02%,18.26%,-0.041,-0.369
全a 近10年,60日变动速率（Price Rate of Change）,-1.48%,-17.20%,12.23%,12.05%,-0.035,-0.285
全a 近10年,20日乖离率,-2.83%,-21.83%,20.00%,23.69%,-0.055,-0.426
全a 近10年,多头力道,-4.59%,-23.06%,27.81%,31.01%,-0.058,-0.477
全a 近10年,Aroon指标上轨,-4.01%,0.46%,21.78%,21.92%,-0.032,-0.382
全a 近10年,单日价量趋势6日均值,-4.29%,-19.58%,30.13%,27.85%,-0.046,-0.476
全a 近10年,10日终极指标TRIX,-3.88%,-17.61%,7.05%,8.55%,-0.036,-0.290
全a 近10年,10日顺势指标,-5.34%,-16.31%,35.21%,37.79%,-0.042,-0.369
全a 近10年,88日顺势指标,-5.06%,-13.93%,10.90%,13.21%,-0.040,-0.346
全a 近10年,24日收盘价格与日期线性回归系数,-3.52%,-17.68%,8.53%,9.02%,-0.035,-0.303
全a 近10年,10日乖离率,-3.19%,-23.51%,28.90%,32.94%,-0.055,-0.441
全a 近10年,6日变动速率（Price Rate of Change）,-2.39%,-23.93%,33.11%,32.18%,-0.051,-0.432
全a 近10年,当前价格处于过去1年股价的位置,-12.75%,-5.82%,12.50%,11.08%,0.034,0.318
全a 近10年,梅斯线,-1.88%,-16.61%,9.29%,9.46%,-0.030,-0.355
全a 近10年,空头力道,-9.07%,-15.58%,26.34%,31.45%,-0.027,-0.210
全a 近10年,单日价量趋势,-7.48%,-21.34%,71.35%,74.05%,-0.038,-0.411
全a 近10年,5日终极指标TRIX,-3.15%,-21.25%,13.20%,15.37%,-0.044,-0.359
全a 近10年,1减去 过去一个月收益率排名与股票总数的比值,-21.79%,-3.48%,18.73%,19.20%,0.047,0.384
全a 近10年,15日顺势指标,-6.55%,-16.10%,27.65%,30.41%,-0.042,-0.367
全a 近10年,市值,-3.83%,-2.49%,2.79%,1.78%,-0.008,-0.063
全a 近10年,现金流市值比,-5.69%,-0.54%,2.47%,2.36%,0.004,0.148
全a 近10年,营收市值比,-8.26%,-0.93%,2.76%,2.05%,0.020,0.233
全a 近10年,流通市值,-5.38%,-2.11%,2.77%,1.77%,-0.004,-0.036
全a 近10年,PEG,0.45%,-7.02%,2.92%,3.38%,-0.007,-0.162
全a 近10年,财务杠杆指数,-2.35%,-4.05%,1.74%,1.76%,-0.002,-0.071
全a 近10年,营业收入指数,-7.17%,-5.07%,2.11%,1.73%,0.000,0.009
全a 近10年,毛利率指数,-4.88%,-6.39%,1.89%,1.95%,-0.001,-0.037
全a 近10年,经营性资产,-8.32%,-2.52%,2.97%,1.70%,0.016,0.175
全a 近10年,金融资产,-9.46%,-0.83%,3.34%,1.86%,0.019,0.272
全a 近10年,经营性负债,-9.05%,-2.21%,2.99%,1.94%,0.014,0.171
全a 近10年,应收账款指数,-5.41%,-7.58%,1.87%,1.79%,-0.001,-0.037
全a 近10年,金融负债,-6.14%,-3.44%,2.48%,1.83%,0.009,0.123
全a 近10年,经营资产回报率TTM,-9.26%,-2.15%,2.38%,1.52%,0.010,0.143
全a 近10年,销售利润率TTM,-8.22%,-2.79%,2.29%,1.42%,0.010,0.157
全a 近10年,长期权益回报率TTM,-8.77%,-1.28%,2.24%,1.60%,0.013,0.202
全a 近10年,经营资产周转率TTM,-6.66%,-4.10%,1.90%,1.62%,0.005,0.100
全a 近10年,长期资产回报率TTM,-8.19%,-0.84%,2.18%,1.36%,0.013,0.184
全a 近10年,销售管理费用指数,-4.74%,-4.73%,1.95%,1.94%,-0.002,-0.057
全a 近10年,长期毛利率增长,-6.18%,-3.81%,2.00%,1.86%,0.003,0.104
全a 近10年,最大盈利水平,-8.10%,-1.26%,1.99%,2.02%,0.006,0.181
全a 近10年,盈利能力稳定性,-9.71%,-0.84%,2.11%,1.39%,0.012,0.232
全a 近10年,投资资本回报率TTM,-8.90%,-1.58%,2.40%,1.55%,0.011,0.137
全a 近10年,预期市盈率,-7.41%,5.94%,2.86%,1.98%,0.018,0.116
全a 近10年,RAW BETA,2.03%,-5.87%,3.25%,3.63%,-0.005,-0.025
全a 近10年,预期短期盈利增长率,-0.01%,-3.75%,2.54%,2.61%,-0.010,-0.095
全a 近10年,预期长期盈利增长率,0.21%,0.25%,3.12%,5.00%,0.002,0.019
全a 近10年,不复权价格因子,3.79%,1.02%,2.42%,2.47%,-0.017,-0.107
全a 近10年,规模因子,1.35%,-7.03%,2.03%,4.65%,-0.012,-0.131
全a 近10年,流动性因子,3.17%,-22.66%,1.45%,2.79%,-0.033,-0.177
全a 近10年,分红收益率因子,-4.72%,3.41%,3.53%,2.59%,0.015,0.099
全a 近10年,质量因子,-9.48%,-5.18%,3.05%,3.50%,-0.001,-0.010
全a 近10年,价值因子,1.29%,-3.58%,2.44%,1.86%,0.030,0.226
全a 近10年,成长因子,-2.21%,-1.29%,3.91%,3.81%,-0.000,-0.000
全a 近10年,动量因子,-0.72%,-11.44%,13.06%,13.21%,-0.041,-0.315
全a 近10年,波动率因子,3.80%,-3.64%,1.82%,2.51%,-0.034,-0.138
全a 近10年,情绪因子,0.44%,-2.65%,5.44%,5.92%,0.005,0.097
全a 近10年,市场波动率因子,3.31%,-7.68%,1.83%,2.26%,-0.009,-0.046
全a 近10年,相对动量因子,-3.59%,1.71%,2.84%,3.07%,-0.013,-0.090
全a 近10年,长期反转因子,-5.05%,0.35%,3.38%,3.46%,0.005,0.062
全a 近10年,残余波动率因子,6.51%,-16.06%,1.40%,3.37%,-0.045,-0.223
全a 近10年,流动性因子,3.24%,-19.86%,1.46%,3.09%,-0.034,-0.185
全a 近10年,市值规模因子,7.97%,1.06%,2.78%,1.61%,-0.014,-0.081
全a 近10年,中等市值因子,0.38%,1.33%,2.62%,4.09%,-0.020,-0.295
全a 近10年,市净率因子,-1.20%,4.26%,3.38%,2.15%,0.032,0.214
全a 近10年,盈利能力因子,-1.56%,-2.14%,1.80%,1.17%,0.003,0.031
全a 近10年,财务杠杆因子,-0.52%,2.69%,1.41%,1.54%,0.001,0.006
全a 近10年,投资能力因子,-4.71%,-2.21%,1.50%,1.80%,0.007,0.076
全a 近10年,分红因子,-3.93%,-2.32%,4.33%,2.47%,0.018,0.174
全a 近10年,盈利质量因子,-1.85%,-3.01%,1.54%,1.91%,0.003,0.044
全a 近10年,收益因子,-8.33%,3.75%,3.08%,2.14%,0.023,0.175
全a 近10年,长期成长因子,-7.91%,-3.07%,2.29%,2.21%,-0.003,-0.045
全a 近10年,盈利变动率因子,1.73%,-7.61%,1.96%,2.46%,-0.011,-0.161
全a近3年,净利润与营业总收入之比,-2.65%,-0.56%,2.02%,1.14%,0.011,0.132
全a近3年,心理线指标,4.81%,-8.88%,24.73%,25.57%,-0.026,-0.347
全a近3年,12日量变动速率指标,3.32%,-13.26%,46.47%,44.48%,-0.043,-0.608
全a近3年,6日成交金额的移动平均值,4.91%,-19.28%,6.17%,8.78%,-0.062,-0.558
全a近3年,每股营业总收入TTM,0.64%,0.02%,1.91%,1.22%,0.005,0.085
全a近3年,经营活动产生的现金流量净额与企业价值之比TTM,-6.73%,4.06%,2.19%,2.08%,0.023,0.312
全a近3年,应付账款周转天数,2.99%,-5.64%,1.39%,1.45%,-0.008,-0.200
全a近3年,销售净利率,-2.57%,-0.57%,2.01%,1.14%,0.011,0.131
全a近3年,营业外收支利润净额/利润总额,4.36%,1.81%,1.92%,1.90%,0.002,0.087
全a近3年,营业收入增长率,-2.66%,-0.09%,2.00%,1.65%,0.001,0.010
